#
#     CMSSW_1_2_0 JETS for Iterative Cone R=0.5
#
#     Simulation Release CMSSW_1_2_0, Reconstruction Release CMSSW_1_2_0,
#     CaloTowers using Scheme B cell energy cuts, No Pileup.
#
#     Seed Threshold = 1.0 GeV ET, Tower Threshold = 0.5 GeV ET.
#     Response fits with Gaussian truncated at 1 sigma and automatic fitting.
#
 0.226 1 1.0 18.0 23.0 0.17965 374.32730 -3.24918 -3.06165 0.72768 5.71653 0.99028
 0.441 1 1.0 18.0 23.0 0.11192 594.66610 -2.46905 -3.04298 0.69125 6.39916 0.98472
 0.751 1 1.0 18.0 23.0 0.19122 468.77357 -3.91248 -3.02842 0.68668 6.01442 0.98484
 0.991 1 1.0 18.0 23.0 0.13197 507.86514 -2.72243 -3.09865 0.67666 7.29036 0.98331
 1.260 1 1.0 18.0 23.0 0.17338 470.91000 -3.53568 -3.10389 0.62186 8.42900 0.97673
 1.496 1 1.0 18.0 23.0 0.16544 645.12442 -3.97845 -3.24091 0.58559 10.35451 0.97289
 1.757 1 1.0 18.0 23.0 0.15482 737.23193 -3.96978 -3.56030 0.49101 9.49944 1.09043
 2.046 1 1.0 18.0 23.0 0.24693 461.99360 -5.10294 -3.35942 0.68058 6.29916 1.06357
 2.295 1 1.0 18.0 23.0 0.35329 566.81330 -8.17366 -3.25935 1.08983 1.79396 1.04780
 2.487 1 1.0 18.0 23.0 0.41139 417.09111 -8.15377 -3.16672 1.42940 -0.10734 1.03711
 2.690 1 1.0 18.0 23.0 0.48413 433.64857 -9.82406 -1.55856 0.48113 -1.27515 1.02300
 2.916 1 1.0 18.0 23.0 0.39422 306.10976 -6.59836 -1.70316 0.69712 -1.29958 1.00110
 3.284 1 1.0 18.0 23.0 0.30002 245.34533 -4.36393 -1.00071 0.65102 -1.45104 0.81310
 4.000 1 1.0 18.0 23.0 0.35120 248.35864 -5.19150 -0.61283 0.34946 -1.44129 0.81773
 4.400 1 1.0 18.0 23.0 0.21766 62.19071 -1.44310 -0.33176 0.16001 -1.49488 0.77444
 4.800 1 1.0 18.0 23.0 0.54123 571.94435 -12.75963 -1.33681 0.69608 -1.13549 0.79020
