#
#     CMSSW_1_2_0 JETS for Midpoint Cone R=0.7
#
#     Simulation Release CMSSW_1_2_0, Reconstruction Release CMSSW_1_2_0,
#     CaloTowers using Scheme B cell energy cuts, No Pileup.
#
#     Seed Threshold = 1.0 GeV ET, Tower Threshold = 0.5 GeV ET.
#
#     Response fits with Gaussian truncated at 1 sigma and Sergey hand-made fitting.
#
 0.226 1 1.0 22.0 43.0 0.24806 996.21890 -7.59978 -3.13006 0.67676 2.48267 0.99236
 0.441 1 1.0 18.0 47.0 0.20925 999.26709 -6.37048 -2.92454 0.57906 3.07087 0.98523
 0.751 1 1.0 19.0 45.0 0.24116 962.85548 -7.24942 -2.97596 0.59725 3.14816 0.98622
 0.991 1 1.0 22.0 44.0 0.18743 1040.10341 -5.78878 -2.94900 0.56882 3.58045 0.98246
 1.260 1 1.0 20.0 45.0 0.18720 1357.01220 -6.64396 -3.02021 0.54482 5.45303 0.97809
 1.496 1 1.0 19.0 44.0 0.19904 1285.53054 -6.89518 -2.99769 0.45575 7.54563 0.97838
 1.757 1 1.0 21.0 52.0 0.16973 1122.55165 -5.43747 -3.60736 0.40498 9.86472 1.10945
 2.046 1 1.0 21.0 43.0 0.23617 670.16661 -5.88454 -3.43978 0.59664 6.06770 1.07559
 2.295 1 1.0 21.0 41.0 0.38503 886.72378 -11.23460 -3.26214 0.91087 -0.06791 1.05980
 2.487 1 1.0 18.0 35.0 0.28996 545.36428 -6.50518 -3.19760 1.10097 0.12826 1.05594
 2.690 1 1.0 18.0 23.0 0.34408 405.19404 -6.66028 -2.31893 0.73971 -1.49032 1.04853
 2.916 1 1.0 18.0 23.0 0.31997 469.01362 -6.61776 -2.15469 0.77262 -1.45051 1.02916
 3.284 1 1.0 18.0 23.0 0.28524 429.25661 -5.57379 -0.90633 0.38260 -1.49452 0.82962
 4.000 1 1.0 20.0 25.0 0.30778 357.27087 -5.48616 -0.53082 0.18663 -1.37093 0.82772
 4.400 1 1.0 19.0 22.0 0.43058 462.80984 -9.01230 -0.38893 0.14008 -1.49999 0.78359
 4.800 1 1.0 18.0 22.0 0.32070 428.49441 -6.45459 -0.74991 0.21168 -1.49958 0.79109
