#
#     CSA06 JETS
#
#     Simulation Release CMSSW_0_8_3, Reconstruction Release CMSSW_1_0_3,
#     CaloTowers using Scheme B cell energy cuts, No Pileup.
#
#     Iterative Cone 05
#     Seed Threshold = 1.0 GeV ET, Tower Threshold = 0.5 GeV ET.
#     Response fits with Gaussian truncated at 1 sigma.
#
 0.226 1 1.0 18.0 33.0 0.22042 674.48903 -5.50145 -9.35820 6.93134 42.41837 0.96725
 0.441 1 1.0 21.0 30.0 0.31205 1039.59221 -9.84199 -3.06238 0.71424 5.63071 0.96241
 0.751 1 1.0 21.0 26.0 0.34919 870.48128 -10.10537 -3.01589 0.66520 6.95206 0.96523
 0.991 1 1.0 18.0 25.0 0.29849 1096.36749 -9.65944 -3.18024 0.68770 8.73440 0.96517
 1.260 1 1.0 20.0 26.0 0.26179 1170.17865 -8.73104 -3.21015 0.61845 10.01749 0.96260
 1.496 1 1.0 19.0 25.0 0.20426 1044.68094 -6.39993 -3.11422 0.60412 14.34900 0.86342
 1.757 1 1.0 21.0 30.0 0.18358 870.59374 -5.23603 -2.87621 0.57037 9.67945 0.83685
 2.046 1 1.0 20.0 30.0 0.19989 537.54077 -4.46521 -2.66306 0.80170 2.42263 0.82393
 2.295 1 1.0 23.0 29.0 0.35447 857.87144 -10.19667 -2.43603 1.04345 0.16782 0.81845
 2.487 1 1.0 18.0 23.0 0.27046 499.31319 -5.83381 -1.38597 0.49019 -1.49998 0.80660
 2.690 1 1.0 18.0 22.0 0.30833 434.91198 -6.21110 -1.03108 0.34831 -1.47948 0.80131
 2.916 1 1.0 18.0 23.0 0.36937 499.28519 -8.01693 -1.36173 0.72882 -1.35404 0.77361
 3.284 1 1.0 18.0 23.0 0.25501 334.01360 -4.33483 -2.45855 1.88735 7.80888 0.83354
 4.000 1 1.0 17.0 21.0 0.22932 101.82226 -1.97226 -0.50653 0.26254 -1.49918 0.81232
 4.400 1 1.0 19.0 22.0 0.38171 218.40487 -5.36368 -0.49149 0.23840 -1.47127 0.79687
 4.800 1 1.0 21.0 25.0 0.43684 370.06840 -8.22244 -2.27447 1.02931 4.73821 0.86503
