#
#     CSA06 JETS
#
#     Simulation Release CMSSW_0_8_3, Reconstruction Release CMSSW_1_0_3,
#     CaloTowers using Scheme B cell energy cuts, No Pileup.
#
#     Midpoint Cone 05 
#     Seed Threshold = 1.0 GeV ET, Tower Threshold = 0.5 GeV ET.
#     Response fits with Gaussian truncated at 1 sigma.
#
 0.226 1 1.0 18.0 28.0 0.12909 674.95674 -3.09988 -7.54015 4.45398 38.14871 0.96718
 0.441 1 1.0 21.0 26.0 0.29025 1033.65984 -9.10199 -3.10998 0.72765 7.39448 0.96215
 0.751 1 1.0 21.0 26.0 0.30928 1076.57122 -9.92231 -3.02030 0.67136 7.18497 0.96472
 0.991 1 1.0 18.0 23.0 0.05203 801.59450 -1.18988 -3.06878 0.63208 8.87958 0.96544
 1.260 1 1.0 21.0 26.0 0.22285 1156.11017 -7.33610 -3.23356 0.62235 10.62061 0.96302
 1.496 1 1.0 19.0 25.0 0.21716 1212.96486 -7.35025 -3.14711 0.57825 16.01527 0.87000
 1.757 1 1.0 21.0 30.0 0.12907 1077.81004 -4.02579 -2.77189 0.53632 9.39290 0.83523
 2.046 1 1.0 20.0 29.0 0.20741 1258.70887 -7.15560 -2.63659 0.78275 2.94675 0.82416
 2.295 1 1.0 19.0 25.0 0.33377 1056.58813 -10.64522 -2.44561 1.10462 -0.79053 0.81481
 2.487 1 1.0 18.0 23.0 0.24248 619.17365 -5.80450 -1.29491 0.43937 -1.48826 0.80530
 2.690 1 1.0 18.0 22.0 0.30672 510.17739 -6.69953 -0.91759 0.29166 -1.49182 0.79891
 2.916 1 1.0 18.0 23.0 0.33973 516.47832 -7.46795 -0.90944 0.36972 -1.30742 0.76669
 3.284 1 1.0 18.0 23.0 0.27148 360.64909 -4.83298 -2.37885 2.05628 4.00415 0.82377
 4.000 1 1.0 15.0 20.0 0.07539 -1.60227 0.23064 -0.46233 0.23155 -1.48436 0.80938
 4.400 1 1.0 19.0 22.0 0.25315 83.67511 -2.05330 -0.53335 0.26199 -1.49031 0.80078
 4.800 1 1.0 19.0 20.0 0.40427 366.23147 -7.55075 -2.33000 1.53537 -1.39561 0.83282
