#
#     CSA06 JETS for Midpoint Cone R=0.7
#
#     Simulation Release CMSSW_0_8_3, Reconstruction Release CMSSW_1_0_3,
#     CaloTowers using Scheme B cell energy cuts, No Pileup.
#
#     Seed Threshold = 1.0 GeV ET, Tower Threshold = 0.5 GeV ET.
#     Response fits with Gaussian truncated at 1 sigma and automatic fitting.
#
 0.226 1 1.0 18.0 23.0 0.04491 494.15543 -0.74025 -2.99685 0.57445 6.15573 0.97188
 0.441 1 1.0 18.0 23.0 0.00005 887.31768 0.27613 -3.02739 0.56661 7.05010 0.96850
 0.751 1 1.0 18.0 23.0 0.00210 -11.00418 0.27759 -3.11337 0.59434 7.46880 0.96978
 0.991 1 1.0 18.0 23.0 0.04482 485.55421 -0.71832 -3.11249 0.54828 8.60152 0.97102
 1.260 1 1.0 18.0 23.0 -0.04505 793.04984 1.55144 -3.27721 0.52091 10.50505 0.97297
 1.496 1 1.0 18.0 23.0 -0.09110 704.35068 2.69573 -3.23753 0.51635 15.79969 0.88165
 1.757 1 1.0 18.0 23.0 -0.00165 -11.01507 0.23826 -2.98108 0.45094 12.89713 0.85848
 2.046 1 1.0 18.0 23.0 -0.00209 -11.01441 0.23879 -2.80063 0.56985 8.10106 0.85349
 2.295 1 1.0 18.0 23.0 0.09000 515.85163 -1.82401 -2.79037 0.97893 2.01106 0.83541
 2.487 1 1.0 18.0 23.0 0.08964 810.21862 -2.30437 -2.29796 0.93656 -1.47845 0.82460
 2.690 1 1.0 18.0 23.0 0.14470 516.23685 -3.03669 -1.55367 0.52158 -1.47802 0.82380
 2.916 1 1.0 18.0 23.0 0.20428 572.46138 -4.62168 -1.04885 0.33271 -1.02974 0.78695
 3.284 1 1.0 18.0 23.0 0.21375 561.05471 -4.73936 -2.46045 1.37088 5.14683 0.84336
 4.000 1 1.0 18.0 23.0 0.26575 265.72020 -4.00473 -0.49658 0.17882 -1.47473 0.81963
 4.400 1 1.0 18.0 23.0 0.52422 629.74722 -12.90879 -0.51099 0.17358 -1.49960 0.81023
 4.800 1 1.0 18.0 23.0 0.52170 771.88651 -14.33432 -2.57666 1.17322 -1.02499 0.88630
